2026-03-29 04:34:45,435 | app_logger | DEBUG | Logger initialized and configuration loaded.
2026-03-29 05:04:25,548 | app_logger | ERROR | Data validation failed: missing columns in input CSV.
2026-03-29 05:04:25,548 | app_logger | CRITICAL | Memory limit reached: process terminated.
2026-03-29 05:04:25,549 | app_logger | INFO | Data Load Started
2026-03-29 05:04:25,633 | app_logger | INFO | Data Load Successfully
2026-03-29 05:04:25,633 | app_logger | INFO | Data Splitting Start
2026-03-29 05:04:25,654 | app_logger | INFO | Data Splitting Successfully
2026-03-29 05:04:25,654 | app_logger | INFO | Making a Processor Successfully
2026-03-29 05:05:05,480 | app_logger | INFO | Data Save Start
2026-03-29 05:10:09,386 | app_logger | DEBUG | Logger initialized and configuration loaded.
2026-03-29 05:10:09,386 | app_logger | INFO | Starting the Data Preprocessing Pipeline...
2026-03-29 05:10:09,386 | app_logger | WARNING | External data source detected: checking file integrity.
2026-03-29 05:10:09,386 | app_logger | ERROR | Data validation failed: missing columns in input CSV.
2026-03-29 05:10:09,387 | app_logger | CRITICAL | Memory limit reached: process terminated.
2026-03-29 05:10:09,387 | app_logger | INFO | Main Pipeline Execution Started
2026-03-29 05:10:09,387 | app_logger | INFO | Data Load Started
2026-03-29 05:10:09,463 | app_logger | INFO | Data Load Successfully | shape=(32561, 15)
2026-03-29 05:10:09,463 | app_logger | INFO | Data Splitting Start
2026-03-29 05:10:09,474 | app_logger | INFO | Data Splitting Successfully | train=26048, test=6513
2026-03-29 05:10:09,474 | app_logger | INFO | Making a Processor Started
2026-03-29 05:10:09,474 | app_logger | INFO | Making a Processor Successfully
2026-03-29 05:10:09,475 | app_logger | INFO | Model Pipeline Build Started
2026-03-29 05:10:09,475 | app_logger | INFO | Model Fitting Started
2026-03-29 05:10:43,333 | app_logger | INFO | Model Fitting Successfully
2026-03-29 05:10:43,333 | app_logger | INFO | Model Prediction Started
2026-03-29 05:10:43,377 | app_logger | INFO | Model Prediction Successfully
2026-03-29 05:10:43,411 | app_logger | DEBUG | Classification Report:
              precision    recall  f1-score   support

           0       0.93      0.87      0.90      4976
           1       0.64      0.77      0.70      1537

    accuracy                           0.85      6513
   macro avg       0.78      0.82      0.80      6513
weighted avg       0.86      0.85      0.85      6513

2026-03-29 05:10:43,412 | app_logger | INFO | Model Save Start
2026-03-29 05:10:43,434 | app_logger | INFO | Model Saved Successfully | path=data\model_evalution\best_pipe.pkl
2026-03-29 05:10:43,434 | app_logger | INFO |  Main Pipeline Execution Completed
